datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,รถน้อยกว่า4ล้อทั้งหมด,รถ4ล้อทั้งหมด,รถมากกว่า4ล้อทั้งหมด,day_of_week,is_weekend,is_holiday,is_daytime
22/12/2024,0,79.47916667,82.29166667,29.7125,91,416,95,6,1,0,0
23/12/2024,0,78.29166667,85.64583333,29.710625,94,430,95,0,0,0,0
24/12/2024,0,78.5,82.35416667,29.728125,90,440,91,1,0,0,0
25/12/2024,0,78.89583333,81.58333333,29.75,89,435,96,2,0,0,0
26/12/2024,0,79.72916667,82.20833333,29.76229167,89,421,94,3,0,0,0
27/12/2024,1,80.45833333,87.6875,29.7575,84,434,90,4,0,0,0
28/12/2024,1,82.04166667,80.47916667,29.761875,92,428,96,5,1,0,0
29/12/2024,0,79.83333333,85.1875,29.76604167,82,441,93,6,1,0,0
30/12/2024,1,80.29166667,81.27083333,29.78333333,96,419,83,0,0,1,0
31/12/2024,0,79.79166667,81.20833333,29.76541667,93,431,95,1,0,1,0
