date,actual_temperature_F,predicted_temperature_F,actual_humidity_%,predicted_humidity_%,actual_pressure_in,predicted_pressure_in
2024-12-02,82.25395833333333,79.68561,71.20854166666666,87.47736,29.86041666666667,29.68975
2024-12-03,82.1875,82.75814,74.82625,74.15739,29.804166666666667,29.762875
2024-12-04,86.52833333333332,82.9548,71.33895833333334,78.32071,29.699791666666666,29.72485
2024-12-05,85.70437500000001,84.08969,79.08562500000001,77.03146,29.695625000000003,29.727875
2024-12-06,85.03604166666666,84.29313,66.78479166666666,80.10942,29.749999999999996,29.703735
2024-12-07,79.92458333333333,83.41655,88.22333333333334,77.05038,29.67958333333333,29.72356
2024-12-08,83.54583333333333,81.94874,74.15875,80.84285,29.648333333333337,29.71344
2024-12-09,81.55229166666668,82.13463,81.88666666666667,80.04138,29.715416666666663,29.719248
2024-12-10,80.00916666666667,81.496704,89.29499999999999,84.00888,29.693125,29.717102
2024-12-11,78.42395833333333,80.48224,91.214375,87.811676,29.697291666666672,29.692488
2024-12-12,77.61729166666667,80.0252,93.03770833333334,87.32749,29.629166666666663,29.703646
2024-12-13,76.810625,79.817444,95.75416666666666,87.30835,29.64979166666667,29.705294
2024-12-14,77.10604166666667,78.975334,94.23895833333334,89.4097,29.678750000000004,29.698055
2024-12-15,80.78041666666667,78.45398,84.58208333333333,91.61751,29.707083333333333,29.720001
2024-12-16,77.51145833333334,80.01856,94.59229166666667,87.95652,29.746458333333333,29.677301
2024-12-17,79.03937499999999,78.55851,90.09875,90.31806,29.74354166666667,29.695234
2024-12-18,79.74249999999999,78.56965,85.8525,90.323494,29.72729166666667,29.691788
2024-12-19,78.40166666666667,79.96104,88.55458333333333,86.62493,29.735208333333336,29.698267
2024-12-20,79.92020833333333,79.25158,82.43208333333332,87.591354,29.7225,29.712063
2024-12-21,80.20833333333333,80.00703,79.126875,85.30277,29.73333333333333,29.724245
2024-12-22,79.46770833333333,80.926994,82.33541666666666,82.27459,29.71291666666667,29.740845
2024-12-23,78.33354166666668,80.381615,85.51958333333333,83.340126,29.710624999999997,29.748468
2024-12-24,78.46541666666667,79.522026,82.38416666666667,84.38956,29.72729166666667,29.762066
2024-12-25,78.89562500000001,79.61267,81.54916666666666,82.73884,29.74958333333333,29.779898
2024-12-26,79.74374999999999,80.005394,82.29395833333334,82.25098,29.761875,29.774548
2024-12-27,80.4475,80.20303,87.64958333333334,82.730194,29.756875,29.767878
2024-12-28,81.98833333333333,80.63056,80.59270833333332,84.45143,29.761250000000004,29.738985
2024-12-29,79.88250000000001,81.46744,85.23479166666667,82.04611,29.766249999999996,29.730965
2024-12-30,80.27583333333332,80.75339,81.19687499999999,82.2003,29.782500000000002,29.750456
2024-12-31,79.870625,80.48626,80.97229166666666,82.80515,29.76604166666666,29.758785
